uuid,time_min_offset,time_max_offset,x,y,z,confidence,Begin File,Begin Time (s),End Time (s),Begin Date Time,Class,Sound type,Confidence,x_m,y_m,z_m,x_err_low_m,x_err_high_m,x_err_span_m,y_err_low_m,y_err_high_m,y_err_span_m,z_err_low_m,z_err_high_m,z_err_span_m,Energy (dB FS),SNR NIST Quick (dB),source_selection_file
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:3357,188.160000000,188.690000000,-0.479999999999998,0.960000000000004,0.0800000000000014,0,AMAR173.4.20220813T023710Z.wav,188.160000000,188.690000000,2022/8/13  2:40:18.1600,NA,NA,0,-0.479999999999998,0.960000000000004,0.0800000000000014,-0.559999999999998,-0.379999999999998,0.18,0.880000000000003,1.04,0.16,-0.0399999999999987,0.200000000000002,0.24,-1.265,18.38,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:3545,1097.520000000,1097.600000000,0.840000000000003,0.820000000000003,-1.5,0,AMAR173.4.20220813T023710Z.wav,1097.520000000,1097.600000000,2022/8/13  2:55:27.5200,NA,NA,0,0.840000000000003,0.820000000000003,-1.5,0.180000000000003,1.54,1.36,0.180000000000003,1.52,1.34,-1.5,-1.02,0.48,-21.296,12.78,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt:3667,1596.290000000,1596.450000000,0.400000000000003,0.240000000000003,-0.0799999999999987,0,AMAR173.4.20220813T023710Z.wav,1596.290000000,1596.450000000,2022/8/13  3:03:46.2900,NA,NA,0,0.400000000000003,0.240000000000003,-0.0799999999999987,0.360000000000003,0.460000000000003,0.1,0.200000000000003,0.320000000000003,0.12,-0.139999999999999,-0.0199999999999987,0.12,-20.230,17.00,AMAR173.4.20220813T023710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:48,343.080000000,343.160000000,0.100000000000003,0.160000000000003,-0.98,0,AMAR173.4.20220813T030710Z.wav,343.080000000,343.160000000,2022/8/13  3:12:53.0800,NA,NA,0,0.100000000000003,0.160000000000003,-0.98,-0.339999999999998,0.560000000000003,0.900000000000001,-0.319999999999998,0.580000000000003,0.900000000000001,-1.32,-0.539999999999999,0.780000000000001,-33.427,9.38,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:433,1653.900000000,1653.940000000,0.440000000000003,-0.0599999999999974,-1,0,AMAR173.4.20220813T030710Z.wav,1653.900000000,1653.940000000,2022/8/13  3:34:43.9000,NA,NA,0,0.440000000000003,-0.0599999999999974,-1,-0.0799999999999974,0.880000000000003,0.960000000000001,-0.479999999999998,0.420000000000003,0.900000000000001,-1.32,-0.559999999999999,0.760000000000001,-36.002,9.98,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:745,806.410000000,806.450000000,-0.119999999999997,-0.979999999999998,-0.739999999999999,0,AMAR173.4.20220813T030710Z.wav,806.410000000,806.450000000,2022/8/13  3:20:36.4100,NA,NA,0,-0.119999999999997,-0.979999999999998,-0.739999999999999,-0.199999999999998,2.66453525910038e-15,0.2,-1.14,-0.779999999999998,0.36,-0.919999999999999,-0.519999999999999,0.4,-42.563,-1.26,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:1070,1522.160000000,1522.200000000,0.840000000000003,0.840000000000003,-1.5,0,AMAR173.4.20220813T030710Z.wav,1522.160000000,1522.200000000,2022/8/13  3:32:32.1600,NA,NA,0,0.840000000000003,0.840000000000003,-1.5,0.320000000000003,1.38,1.06,0.320000000000003,1.38,1.06,-1.5,-1.18,0.32,-22.087,14.21,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:1329,1367.660000000,1367.710000000,0.660000000000003,0.680000000000003,-1.5,0,AMAR173.4.20220813T030710Z.wav,1367.660000000,1367.710000000,2022/8/13  3:29:57.6600,NA,NA,0,0.660000000000003,0.680000000000003,-1.5,0.100000000000003,1.26,1.16,0.0800000000000027,1.28,1.2,-1.5,-1.16,0.34,-23.383,15.51,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:1749,1705.540000000,1705.650000000,-0.939999999999998,0.760000000000003,-1.16,0,AMAR173.4.20220813T030710Z.wav,1705.540000000,1705.650000000,2022/8/13  3:35:35.5400,NA,NA,0,-0.939999999999998,0.760000000000003,-1.16,-1.58,-0.239999999999998,1.34,0.180000000000003,1.32,1.14,-1.4,-0.799999999999999,0.600000000000001,-18.526,12.50,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt:1794,806.670000000,806.780000000,-0.759999999999998,0.0800000000000027,-1.5,0,AMAR173.4.20220813T030710Z.wav,806.670000000,806.780000000,2022/8/13  3:20:36.6700,NA,NA,0,-0.759999999999998,0.0800000000000027,-1.5,-0.859999999999998,-0.599999999999998,0.26,2.66453525910038e-15,0.200000000000003,0.2,-1.5,-1.32,0.18,-11.086,22.28,AMAR173.4.20220813T030710Z.wav.chan0.Table.1.selections.FS.txt
